Da quale stazione sei partito/a?,"Hai appena lasciato la stazione _*{{field:42d2f2dc-d593-4fe8-a3b3-a31906b72338}}*_
Che parola ti viene in mente pensando a questo luogo?",Dove stai andando?,Sei in Compagnia?,Perché stai usando il Minimetrò oggi?,Quanto spesso usi il Minimetrò nella tua vita quotidiana?,Quanti anni hai?,Genere,Dove vivi principalmente?,In quale zona del comune di Perugia vivi?,Cosa fai nella tua vita quotidiana?,"Se non ci fosse il Minimetrò, come ti sposteresti normalmente?",Qual è il tuo livello di energia?,Quanto sei contento?,Quanto ti senti in controllo di ciò che ti succede?,C'è una parola che si avvicina a quello che senti? (facoltativo),Vuoto – Affollato,Silenzioso – Rumoroso,Pulito – Sporco,"Quando mi trovo in questo spazio, mi sento circondato da persone simili a me.","In questo luogo mi sento al sicuro, anche in presenza di persone che non conosco. ",Questo spazio mi appartiene: sento che fa parte della mia identità e di chi sono.,"In questo spazio, mi sentirei a mio agio nello scambiare qualche parola con gli altri passeggeri.",Quale parola vorresti RICEVERE da qualcuno in questo momento?,Quale parola vorresti LASCIARE a chi salirà su questo vagone dopo di te?,Quanto ti sembra veloce questo viaggio?,"Se questo viaggio fosse un colore, quale sarebbe?",Submitted At,Stato d'animo
Cortonese,Verde,Pincetto,Nessuno (sono da solo/a),Studio,4,24,Donna,Nel comune di Perugia,Ponte della Pietra,Studente-lavoratore,Bus,2,2,1,Ansia,3,3,3,3,3,3,4,"Non mollare, ce l’hanno fatta tutti e ce la farai anche tu",Buona vita,7,Verde,14/05/2026 9.57.43,Tristezza
Pincetto,,Pian Di Massiano,Nessuno (sono da solo/a),Studio,5,21,Donna,Nel comune di Perugia,Ponte San GIovannii,Studente/studentessa,Altro,3,4,3,Stanchezza,3,3,5,3,5,5,5,Come stai?,Sei amata,8,Blu,14/05/2026 17.24.02,felicità
Cortonese,Verde,Pincetto,Amici,Tempo libero / svago,3,24,Uomo,Nel comune di Perugia,Elce,Studente/studentessa,A piedi,3,4,5,Curiosità,3,2,3,2,4,3,4,Vieni a prendere un macha?,Diventa ciò che sei,6,Verde,17/05/2026 15.57.35,felicità
Pincetto,nostalgia,Pian Di Massiano,Partner,Commissioni / necessità,1,28,Donna,In un’altra zona d’Italia,,Studente/studentessa,A piedi,3,3,3,Serenità,1,2,2,3,3,3,3,anima,felicità,5,Verde,17/05/2026 17.19.46,felicità
Cupa,Bocca della balena,Fontivegge,Amici,Ritorno a casa,3,15,Uomo,Nei dintorni di Perugia (provincia / comuni vicini),,Studente/studentessa,A piedi,2,2,3,Paura,3,3,4,4,5,5,4,Stai andando verso la giusta direzione,Non importa la strada se non sai la direzione,1,Giallo,18/05/2026 13.08.28,Tristezza
Cupa,,Fontivegge,Nessuno (sono da solo/a),Ritorno a casa,1,20,Uomo,In un’altra zona d’Italia,,Studente/studentessa,Bus,4,3,3,Serenità,1,1,3,3,2,3,5,un complimento sul mio aspetto,guarda sotto di te e sentiti in volo,8,Azzurro,18/05/2026 16.52.37,felicità
Cortonese,,Cupa,Amici,Studio,3,21,Donna,Nei dintorni di Perugia (provincia / comuni vicini),,Studente-lavoratore,Auto,2,3,2,,2,1,4,1,5,3,5,“dai che gli esami finisco presto!”,buona fortuna,3,Azzurro,20/05/2026 12.15.18,felicità
Pincetto,Stella polare,Cortonese,Amici,Tempo libero / svago,5,20,Donna,Nel comune di Perugia,Sant'Enea,Studente/studentessa,Bus,3,5,4,Entusiasmo,2,1,3,2,5,4,2,Ti presto un fazzoletto che ti vedo raffreddata,Che bello il tramonto,5,Rosso,21/05/2026 18.11.57,felicità
Pincetto,Storia,Case Bruciate,Nessuno (sono da solo/a),Tempo libero / svago,4,19,Donna,Nel comune di Perugia,Perugia-Acropoli,Studente/studentessa,A piedi,4,5,4,Amore,3,3,3,2,3,4,3,"Segui il tuo cuore, sempre",Viaggia,6,Azzurro,25/05/2026 8.05.08,felicità
Fontivegge,Ansia,Cupa,Nessuno (sono da solo/a),Commissioni / necessità,2,28,Donna,In un’altra zona d’Italia,,Studente/studentessa,A piedi,4,3,5,,4,3,1,3,2,1,5,Scegli ciò che ti fa stare bene,Rifletti in ciò che fai prenditi del tempo e fai le giuste decisione vai piano prenditi il tempo,10,Rosa,29/05/2026 10.28.24,felicità
Cupa,fresco,Pian Di Massiano,Nessuno (sono da solo/a),Tempo libero / svago,4,19,Donna,Nel comune di Perugia,Elce,Studente/studentessa,A piedi,5,3,3,Curiosità,3,5,1,3,4,3,5,Tranquilla,Sorridi!,7,Rosso,30/05/2026 16.29.29,felicità
Pian Di Massiano,,Pincetto,Partner,Tempo libero / svago,1,22,Donna,In un’altra zona d’Italia,,Lavoratore/lavoratrice,Auto,4,5,4,Curiosità,2,3,2,3,4,5,5,ti amo,ti amo,10,Arancione,31/05/2026 10.27.51,felicità
Pincetto,,Cortonese,Amici,Tempo libero / svago,2,21,Donna,Nel comune di Perugia,Via dei Filosofi-Pallotta,Studente/studentessa,Bus,2,1,1,Ansia,1,2,3,2,4,1,2,Andrà meglio,Buon viaggio!,4,Rosso,31/05/2026 14.34.59,Tristezza
Cupa,cupa,Pincetto,Amici,Studio,5,21,Uomo,Nel comune di Perugia,,Studente/studentessa,Bus,2,3,3,Stanchezza,1,2,4,3,4,2,3,sei ricco,buon viaggio,6,Verde,02/06/2026 10.24.56,felicità
Fontivegge,,Cortonese,Amici,Spostamento di passaggio / collegamento,3,19,Donna,Nel comune di Perugia,Prepo,Studente/studentessa,Bus,2,3,1,Stanchezza,2,2,3,1,2,1,4,Hai passato Java!,Be happy,6,Viola,03/06/2026 10.10.17,Tristezza
Pian Di Massiano,Massimo decimo Meridio,Pincetto,Famiglia,Tempo libero / svago,1,46,Uomo,In un’altra zona d’Italia,,Lavoratore/lavoratrice,Auto,3,3,3,Stanchezza,3,3,3,3,3,3,3,Sei bellissimo,Buon rientro,4,Arancione,04/06/2026 10.24.24,felicità
Cortonese,,Cupa,Nessuno (sono da solo/a),Ritorno a casa,4,20,Donna,Nei dintorni di Perugia (provincia / comuni vicini),,Studente/studentessa,Bus,3,3,4,Serenità,3,2,4,2,3,2,2,Tranquilla,Divertiti,7,Grigio,04/06/2026 11.46.03,felicità
Cupa,Bo,Pian Di Massiano,Nessuno (sono da solo/a),Tempo libero / svago,2,80,Uomo,Nel comune di Perugia,,Pensionato/a,Auto,3,4,4,Serenità,3,3,2,4,4,3,2,Serenita,Pace e sicurezza,7,Verde,09/06/2026 8.22.53,Tristezza
